standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
1,1,1,0,1.09861228866811,0.7412763113750154
1,1,2,0,0.0,0.0
1,0,22,0,1.09861228866811,0.7412763113750154
1,0,5,0,2.079441541679836,1.1247482629090364
1,1,6,0,4.90527477843843,1.775845981748474
1,0,0,0,1.09861228866811,0.7412763113750154
1,0,7,0,1.09861228866811,0.7412763113750154
2,1,5,0,1.09861228866811,0.7412763113750154
1,1,2,0,0.0,0.0
1,1,5,0,2.079441541679836,1.1247482629090364
2,1,1,0,1.09861228866811,0.7412763113750154
1,1,14,0,3.80666248977032,1.570002974208493
1,0,3,0,1.6094379124341,0.9591348389208239
2,1,22,0,1.09861228866811,0.7412763113750154
2,1,0,0,0.0,0.0
1,1,16,0,4.369447852467021,1.6807250824647133
2,1,1,0,1.09861228866811,0.7412763113750154
1,1,8,0,1.09861228866811,0.7412763113750154
3,1,16,0,1.09861228866811,0.7412763113750154
1,1,0,0,1.386294361119891,0.869741686191944
1,1,3,0,2.302585092994046,1.1947055233182955
1,0,6,0,2.302585092994046,1.1947055233182955
1,1,5,0,2.564949357461537,1.2711498482847257
1,1,7,0,2.639057329615258,1.291724672728311
1,0,8,1,2.772588722239781,1.327761429538331
1,0,10,0,2.772588722239781,1.327761429538331
1,1,15,0,3.044522437723423,1.3973634811730353
1,1,1,0,2.047692843365255,1.1143848595723134
1,1,5,0,1.01160091167848,0.6989308785261884
2,1,19,0,3.442019376182411,1.4911090875028867
1,1,18,0,1.01160091167848,0.6989308785261884
1,1,3,0,0.2231435513142098,0.20142422619816863
1,1,2,0,0.2231435513142098,0.20142422619816863
2,1,1,0,2.047692843365255,1.1143848595723134
1,1,2,0,0.9162907318741551,0.65039140701146
1,1,0,0,0.9162907318741551,0.65039140701146
1,0,19,0,0.9162907318741551,0.65039140701146
2,1,3,0,0.9162907318741551,0.65039140701146
1,1,2,0,1.504077396776274,0.9179203620158713
1,1,4,0,2.014903020542265,1.1035676640041994
1,0,4,1,2.351375257163478,1.209370786121248
2,1,19,0,0.9162907318741551,0.65039140701146
1,1,10,0,2.862200880929469,1.3512371973945323
1,0,5,1,3.020424886144363,1.3913875901165478
2,1,8,0,3.157000421150113,1.424793761581564
1,1,21,0,0.9162907318741551,0.65039140701146
1,0,1,0,0.8109302162163288,0.5938406448713454
1,0,7,0,0.8109302162163288,0.5938406448713454
1,1,2,0,1.749199854809259,1.0113099074533152
1,0,28,0,0.8109302162163288,0.5938406448713454
1,0,2,1,1.178654996341646,0.7787077122389138
1,1,1,0,1.178654996341646,0.7787077122389138
2,1,1,0,2.327277705584417,1.2021544638217265
1,1,1,0,0.0,0.0
1,0,1,0,0.6931471805599453,0.5265890341390445
1,1,2,0,0.6931471805599453,0.5265890341390445
1,1,1,0,0.0,0.0
1,1,5,0,2.19722457733622,1.1622831138840006
1,0,1,0,0.0,0.0
1,0,4,0,0.6931471805599453,0.5265890341390445
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,28,0,0.6931471805599453,0.5265890341390445
1,0,1,0,0.0,0.0
1,1,2,0,0.6931471805599453,0.5265890341390445
1,0,3,0,0.6931471805599453,0.5265890341390445
1,1,4,0,2.302585092994046,1.1947055233182955
1,1,3,0,1.791759469228055,1.026672031199051
1,1,2,0,0.6931471805599453,0.5265890341390445
1,1,13,0,0.6931471805599453,0.5265890341390445
1,0,5,0,0.6931471805599453,0.5265890341390445
1,1,0,0,0.6931471805599453,0.5265890341390445
1,1,2,0,1.6094379124341,0.9591348389208239
1,0,4,0,0.6931471805599453,0.5265890341390445
1,1,1,0,0.0,0.0
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,1,0,0.0,0.0
1,0,8,0,0.6931471805599453,0.5265890341390445
1,1,22,0,0.6931471805599453,0.5265890341390445
1,0,0,0,0.6931471805599453,0.5265890341390445
1,0,20,0,0.6931471805599453,0.5265890341390445
1,1,5,0,2.397895272798371,1.223156202527103
1,1,1,0,0.6931471805599453,0.5265890341390445
2,1,7,0,2.995732273553991,1.3852268599316875
1,0,15,0,0.6931471805599453,0.5265890341390445
2,1,8,0,0.6931471805599453,0.5265890341390445
1,1,4,0,0.6931471805599453,0.5265890341390445
2,1,0,0,0.0,0.0
2,1,0,0,0.0,0.0
1,1,22,1,0.6931471805599453,0.5265890341390445
1,0,7,0,0.6931471805599453,0.5265890341390445
1,1,5,0,0.6931471805599453,0.5265890341390445
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,0,0,0.6931471805599453,0.5265890341390445
1,0,6,0,2.94443897916644,1.372306733580753
1,0,3,0,2.19722457733622,1.1622831138840006
1,0,0,0,0.6931471805599453,0.5265890341390445
1,1,26,0,0.6931471805599453,0.5265890341390445
1,0,10,0,0.6931471805599453,0.5265890341390445
1,0,0,1,0.6931471805599453,0.5265890341390445
1,1,15,0,0.6931471805599453,0.5265890341390445
1,1,6,0,0.6931471805599453,0.5265890341390445
1,0,8,0,0.6931471805599453,0.5265890341390445
2,1,7,0,0.6931471805599453,0.5265890341390445
1,0,11,0,0.6931471805599453,0.5265890341390445
1,1,21,0,0.6931471805599453,0.5265890341390445
1,1,5,0,0.6931471805599453,0.5265890341390445
1,1,8,0,2.70805020110221,1.3105061862047918
1,1,22,0,0.6931471805599453,0.5265890341390445
2,1,1,0,0.6931471805599453,0.5265890341390445
2,1,24,1,0.6931471805599453,0.5265890341390445
2,1,3,0,1.386294361119891,0.869741686191944
1,1,2,0,1.6094379124341,0.9591348389208239
2,1,1,0,1.945910149055313,1.0804178182729876
1,1,3,0,2.079441541679836,1.1247482629090364
1,0,17,0,0.6931471805599453,0.5265890341390445
1,1,4,0,2.19722457733622,1.1622831138840006
1,0,15,0,0.6931471805599453,0.5265890341390445
1,1,4,0,2.484906649788,1.2484412575662103
1,1,6,0,2.564949357461537,1.2711498482847257
2,1,17,0,0.6931471805599453,0.5265890341390445
2,1,2,0,2.833213344056216,1.3437034446606386
2,1,16,0,0.6931471805599453,0.5265890341390445
1,0,15,0,0.6931471805599453,0.5265890341390445
1,0,10,0,0.6931471805599453,0.5265890341390445
2,0,7,0,0.5596157879354227,0.4444395011421503
1,0,3,0,0.5596157879354227,0.4444395011421503
2,1,3,0,1.321755839982319,0.8423237270072311
1,1,1,0,0.2231435513142098,0.20142422619816863
1,0,1,1,0.2231435513142098,0.20142422619816863
2,1,3,0,1.321755839982319,0.8423237270072311
1,1,10,0,2.724579503053421,1.314953960373192
1,0,12,0,0.5481214085096876,0.437042201361945
1,0,0,0,0.4054651081081644,0.3403682858041914
1,0,1,0,0.4054651081081644,0.3403682858041914
2,1,9,0,0.4054651081081644,0.3403682858041914
1,0,7,0,0.4054651081081644,0.3403682858041914
1,0,5,0,0.4054651081081644,0.3403682858041914
1,1,1,0,0.4054651081081644,0.3403682858041914
1,1,2,0,0.4054651081081644,0.3403682858041914
1,0,1,0,0.4054651081081644,0.3403682858041914
1,1,0,1,0.4054651081081644,0.3403682858041914
2,1,0,0,0.4054651081081644,0.3403682858041914
1,1,0,1,0.4054651081081644,0.3403682858041914
1,0,10,1,0.4054651081081644,0.3403682858041914
1,1,3,0,0.4054651081081644,0.3403682858041914
3,1,3,0,0.4054651081081644,0.3403682858041914
1,1,3,0,2.014903020542265,1.1035676640041994
1,0,2,0,0.4054651081081644,0.3403682858041914
1,0,6,1,0.4054651081081644,0.3403682858041914
1,1,0,0,0.4054651081081644,0.3403682858041914
1,1,1,0,0.4054651081081644,0.3403682858041914
1,1,3,0,0.4054651081081644,0.3403682858041914
1,1,22,0,0.4054651081081644,0.3403682858041914
1,0,1,0,0.4054651081081644,0.3403682858041914
1,0,25,0,0.4054651081081644,0.3403682858041914
2,1,10,0,0.4054651081081644,0.3403682858041914
2,1,1,0,0.4054651081081644,0.3403682858041914
2,1,7,0,0.4054651081081644,0.3403682858041914
2,1,1,0,0.9162907318741551,0.65039140701146
2,1,1,0,0.9162907318741551,0.65039140701146
1,1,1,0,0.9162907318741551,0.65039140701146
1,1,2,0,1.252762968495368,0.8121574488561436
1,0,0,0,1.252762968495368,0.8121574488561436
1,1,2,0,1.252762968495368,0.8121574488561436
1,1,2,0,1.704748092238425,0.9950087812478073
1,1,1,0,1.704748092238425,0.9950087812478073
1,1,2,0,1.871802176901591,1.054939768904731
2,1,2,0,1.871802176901591,1.054939768904731
1,1,3,0,2.014903020542265,1.1035676640041994
